gamma,alpha,dropout,val_auc,val_precision,val_recall,pred_min,pred_max,epochs_run,duration_sec
0.5,0.35,0.4,0.7274870702768482,0.3333333333333333,0.013157894736842105,0.02088771015405655,0.6072490811347961,50,47.21106815338135
0.5,0.4,0.4,0.7285898996045026,0.5,0.06578947368421052,0.024220677092671394,0.6571764945983887,50,47.350651025772095
0.5,0.45,0.4,0.728970185579556,0.5384615384615384,0.09210526315789473,0.027818914502859116,0.7017439603805542,50,47.129942893981934
0.5,0.5,0.4,0.7293124429571037,0.42105263157894735,0.10526315789473684,0.03179905191063881,0.741908609867096,50,46.95000076293945
0.5,0.6,0.4,0.7315941588074232,0.38461538461538464,0.2631578947368421,0.041462235152721405,0.8110923171043396,50,46.73569393157959
0.5,0.7,0.4,0.7334575600851841,0.3902439024390244,0.42105263157894735,0.05492037162184715,0.8681129813194275,50,46.49075984954834
0.5,0.8,0.4,0.7360054761180408,0.37209302325581395,0.631578947368421,0.07734967023134232,0.9170209765434265,50,46.27492308616638
0.5,0.85,0.4,0.7366899908731366,0.3118279569892473,0.7631578947368421,0.09666284918785095,0.9392940402030945,50,46.41024899482727
0.5,0.9,0.4,0.7379449345908122,0.25196850393700787,0.8421052631578947,0.13044676184654236,0.9603630304336548,50,47.26020884513855
1.0,0.3,0.4,0.7303392150897474,0.5,0.013157894736842105,0.05328146368265152,0.5583377480506897,50,47.12757110595703
1.0,0.35,0.4,0.7309096440523274,0.25,0.013157894736842105,0.06051270291209221,0.5970535278320312,50,47.170345067977905
1.0,0.4,0.4,0.7317843017949498,0.5,0.06578947368421052,0.06780252605676651,0.6321080923080444,50,47.250834941864014
1.0,0.45,0.4,0.732506845147551,0.5,0.07894736842105263,0.07531562447547913,0.6654518842697144,50,47.24065184593201
1.0,0.5,0.4,0.7334195314876787,0.3888888888888889,0.09210526315789473,0.08321712911128998,0.6966177225112915,50,47.178969860076904
1.0,0.6,0.4,0.7337998174627318,0.40384615384615385,0.27631578947368424,0.10066209733486176,0.7539663314819336,50,47.198538064956665
1.0,0.7,0.4,0.7345223608153332,0.3888888888888889,0.4605263157894737,0.12182021141052246,0.8079015016555786,50,46.92770314216614
1.0,0.8,0.4,0.736385762093094,0.363013698630137,0.6973684210526315,0.15208348631858826,0.861967921257019,50,46.72518825531006
1.0,0.85,0.4,0.7376026772132644,0.295,0.7763157894736842,0.17476078867912292,0.8904820680618286,50,46.535547971725464
1.0,0.9,0.4,0.7384393063583815,0.24907063197026022,0.881578947368421,0.20964224636554718,0.921038806438446,50,46.66054606437683
2.0,0.3,0.4,0.7361195619105567,0.5,0.013157894736842105,0.16131548583507538,0.5241445899009705,50,47.0860641002655
2.0,0.35,0.4,0.7360054761180407,0.25,0.013157894736842105,0.17466144263744354,0.5475547313690186,50,47.16776967048645
2.0,0.4,0.4,0.7360054761180408,0.42857142857142855,0.039473684210526314,0.1875709891319275,0.5692920088768005,50,47.19312620162964
