budget,horizon,threshold,precision,recall,f1,n_positive_preds,n_samples,auc,pred_min,pred_max
200M,3,0.2,0.4523809523809524,1.0,0.6229508196721312,420,420,0.6309382151029748,0.20519303,0.8500959
200M,3,0.3,0.4811594202898551,0.8736842105263158,0.6205607476635514,345,420,0.6309382151029748,0.20519303,0.8500959
200M,3,0.4,0.5560538116591929,0.6526315789473685,0.6004842615012107,223,420,0.6309382151029748,0.20519303,0.8500959
200M,3,0.5,0.5737704918032787,0.3684210526315789,0.44871794871794873,122,420,0.6309382151029748,0.20519303,0.8500959
200M,3,0.6,0.6133333333333333,0.24210526315789474,0.3471698113207547,75,420,0.6309382151029748,0.20519303,0.8500959
200M,3,0.7,0.5882352941176471,0.10526315789473684,0.17857142857142858,34,420,0.6309382151029748,0.20519303,0.8500959
200M,3,0.8,0.7272727272727273,0.042105263157894736,0.07960199004975124,11,420,0.6309382151029748,0.20519303,0.8500959
200M,5,0.1,0.6004784688995215,1.0,0.750373692077728,418,418,0.6126154066369254,0.26248652,0.8683187
200M,5,0.2,0.6004784688995215,1.0,0.750373692077728,418,418,0.6126154066369254,0.26248652,0.8683187
200M,5,0.3,0.5995085995085995,0.9721115537848606,0.7416413373860182,407,418,0.6126154066369254,0.26248652,0.8683187
200M,5,0.4,0.6578073089700996,0.7888446215139442,0.717391304347826,301,418,0.6126154066369254,0.26248652,0.8683187
200M,5,0.5,0.6835443037974683,0.4302788844621514,0.5281173594132029,158,418,0.6126154066369254,0.26248652,0.8683187
200M,5,0.6,0.7,0.1952191235059761,0.3052959501557632,70,418,0.6126154066369254,0.26248652,0.8683187
200M,5,0.7,0.75,0.09561752988047809,0.1696113074204947,32,418,0.6126154066369254,0.26248652,0.8683187
200M,5,0.8,0.7777777777777778,0.027888446215139442,0.05384615384615385,9,418,0.6126154066369254,0.26248652,0.8683187
