epoch,lr,train_loss,train_auc,val_loss,val_auc,val_pred_mean,val_pred_std,val_pred_range,val_pos_mean,val_neg_mean,val_class_sep
14,0.0001,0.6932167144198167,0.6013986833771802,0.6931715948241097,0.4764997248211338,0.5000156164169312,3.972176727984333e-06,2.4437904357910156e-05,0.5000162124633789,0.5000155568122864,6.556510925292969e-07
15,9.938441702975689e-05,0.6932100224913212,0.6010833059290657,0.6931659238679069,0.4781507980187122,0.5000119805335999,3.030012749150046e-06,1.8537044525146484e-05,0.5000125169754028,0.5000119209289551,5.960464477539062e-07
16,9.755282581475769e-05,0.6931969826681572,0.6005824929357889,0.6931620921407428,0.47666483214089156,0.5000095367431641,2.3851232526794774e-06,1.4483928680419922e-05,0.5000098943710327,0.5000094771385193,4.172325134277344e-07
17,9.45503262094184e-05,0.6931881496780797,0.6003901302007211,0.6931594184466771,0.4764997248211338,0.5000078082084656,1.946485099324491e-06,1.1801719665527344e-05,0.5000081062316895,0.5000078082084656,2.980232238769531e-07
18,9.045084971874738e-05,0.6931815110800559,0.6002620152489526,0.693157468523298,0.47616951018161807,0.5000065565109253,1.6258624100373709e-06,9.775161743164062e-06,0.5000068545341492,0.5000065565109253,2.980232238769531e-07
19,8.535533905932738e-05,0.6931764844216799,0.6001608478271462,0.6931560124669757,0.47682993946064944,0.5000056624412537,1.3888911780668423e-06,8.344650268554688e-06,0.500005841255188,0.5000056624412537,1.7881393432617188e-07
20,7.938926261462366e-05,0.6931733023702052,0.5996678754993667,0.6931548884936741,0.47955421023665384,0.5000048875808716,1.2071222954546101e-06,7.212162017822266e-06,0.5000051259994507,0.5000048875808716,2.384185791015625e-07
21,7.269952498697734e-05,0.6931701062018412,0.5995038305076489,0.6931540369987488,0.4770500825536599,0.5000044107437134,1.0663611647032667e-06,6.377696990966797e-06,0.5000045895576477,0.5000043511390686,2.384185791015625e-07
22,6.545084971874738e-05,0.6931680487959009,0.5994405723229075,0.6931533132280622,0.47660979636763895,0.5000039339065552,9.556911209074315e-07,5.662441253662109e-06,0.5000041127204895,0.5000038743019104,2.384185791015625e-07
23,5.782172325201155e-05,0.6931660149181098,0.5997229124037806,0.6931527853012085,0.4759218492019813,0.5000035762786865,8.659097829877282e-07,5.125999450683594e-06,0.5000036358833313,0.5000035762786865,5.960464477539063e-08
24,5e-05,0.6931644604917158,0.5988205507648836,0.6931523595537458,0.476967528893781,0.5000032782554626,7.966421549099323e-07,4.708766937255859e-06,0.5000033974647522,0.5000032782554626,1.1920928955078125e-07
25,4.217827674798847e-05,0.693163433095865,0.5991477272727272,0.6931520019258771,0.4768299394606495,0.5000030994415283,7.399518722195353e-07,4.351139068603516e-06,0.5000030994415283,0.5000030994415283,0.0
26,3.4549150281252636e-05,0.6931626843778711,0.5991306757283447,0.6931517209325518,0.477517886626307,0.500002920627594,6.975852215873601e-07,4.112720489501953e-06,0.5000029802322388,0.500002920627594,5.960464477539063e-08
27,2.7300475013022663e-05,0.6931619048118591,0.5990388714313554,0.6931514995438712,0.4784534947716016,0.5000027418136597,6.636321359110298e-07,3.933906555175781e-06,0.5000028014183044,0.5000028014183044,0.0
28,2.061073738537635e-05,0.6931612308610949,0.5991900516418202,0.6931513547897339,0.4774628508530545,0.5000026822090149,6.373015821736772e-07,3.7550926208496094e-06,0.5000027418136597,0.5000026226043701,1.1920928955078125e-07
